
:TEMPLATE=$SBE_FR
:Tagname,TXT.XDWN,TXT.XINT1,TXT.XINT2,TXT.XINT3,TXT.XINT4,TXT.XINT5,TXT.XINT6,TXT.XINT7,TXT.XINT8
C8210_LIW01_DO02,,,,,0,0,0,0,0
C8210_SB01_MO01,,,,,0,0,0,0,0
C8210_SCW07_MO01,C8220_MX01_MO01 AND C8210_BV01_FB02,,,,0,0,0,0,0
C8220_MX01_MO01,C8220_MX02_MO01,,,,0,0,0,0,0
C8220_MX02_MO01,C8220_EXT01_MO01 IF C8220_DV01_FB02,,,,0,0,0,0,0
C8220_EXT01_MO01,,Brush Fault,Motor Housing Open,Torque Limiter,0,0,0,0,0
C8220_FA01_MO01,,Pressure Switch,,,0,0,0,0,0
C8220_FA02_MO01,,,,,0,0,0,0,0
C8220_HE01_DO01,,,,,0,0,0,0,0
C8220_HY01_PU01_MO01,,,,,0,0,0,0,0
C8220_PU01_MO01,,Pressure Switch,Oil Filter Fault,,0,0,0,0,0
C8220_PU02_MO01,,Pressure Switch,,,0,0,0,0,0
C8220_DZ01_MO01,,,,,0,0,0,0,0
C8220_CU01_MO01,,,,,0,0,0,0,0
C8224_FA01_MO01,,,,,0,0,0,0,0
C8224_RV01_MO01,,,,,0,0,0,0,0
C8226_CN01_MO01,C8228_EV01_MO01,,,,0,0,0,0,0
C8228_EV01_MO01,Dryer OK,,,,0,0,0,0,0
C8232_VB01_MO01,C8232_EV01_MO01,,,,0,0,0,0,0
C8232_VB01_MO02,C8232_EV01_MO01,,,,0,0,0,0,0
C8232_EV01_MO01,,,,,0,0,0,0,0
C8232_FA01_MO01,,,,,0,0,0,0,0
C8234_SI01_MO01,C8234_CN01_MO01,,,,0,0,0,0,0
C8234_CN01_MO01,,,,,0,0,0,0,0
C8234_FA01_MO01,,,,,0,0,0,0,0
C8234_SCW01_MO01,C8270_DE01_MO01,,,,0,0,0,0,0
C8235_PU01_MO01,C8235_BV01_FB02,,,,0,0,0,0,0
C8235_PU02_MO01,C8235_BV02_FB02,,,,0,0,0,0,0
C8235_PU03_MO01,C8235_BV03_FB02,,,,0,0,0,0,0
C8236_PU01_MO01,,,,,0,0,0,0,0
C8236_PU02_MO01,C8236_BV09_FB02,,,,0,0,0,0,0
C8236_VC01_MX01_MO01,,,,,0,0,0,0,0
C8236_VP01_MO01,,,,,0,0,0,0,0
C8236_VP02_MO01,,,,,0,0,0,0,0
C8238_VB01_MO01,C8238_EV01_MO01,,,,0,0,0,0,0
C8238_VB01_MO02,C8238_EV01_MO01,,,,0,0,0,0,0
C8238_EV01_MO01,Cooler Running,,,,0,0,0,0,0
C8243_VB01_MO01,C8243_EV01_MO01,,,,0,0,0,0,0
C8243_VB01_MO02,C8243_EV01_MO01,,,,0,0,0,0,0
C8243_EV01_MO01,C8243_EV02_MO01,,,,0,0,0,0,0
C8243_EV02_MO01,,Pressure Switch,,,0,0,0,0,0
C8250_DV01_LP01,,,,,0,0,0,0,0
C8250_DV01_LP02,,,,,0,0,0,0,0
C8250_VB01_MO01,C8250_SI01_MO01 AND C8250_VB01_MO02,,,,0,0,0,0,0
C8250_VB01_MO02,C8250_SI01_MO01 AND C8250_VB01_MO02,,,,0,0,0,0,0
C8250_SI01_MO01,,,,,0,0,0,0,0
C8250_SI01_MO02,,,,,0,0,0,0,0
C8251_EV01_MO01,,,,,0,0,0,0,0
C8251_DB01_MO01,,,,,0,0,0,0,0
C8252_CN01_MO01,,,,,0,0,0,0,0
C8252_EV01_MO01,,,,,0,0,0,0,0
C8259_MVS01_MO01,,,,,0,0,0,0,0
C8259_MVS02_MO01,,,,,0,0,0,0,0
C8259_BL01_MO01,,,,,0,0,0,0,0
C8259_PU01_MO01,Valve Open (C8259_BV02 OR BV03. If BV03 then also BV04 OR BV05),,,,0,0,0,0,0
C8259_PU02_MO01,C8259_BV07_FB02,,,,0,0,0,0,0
C8259_PU03_MO01,C8259_BV09_FB02,,,,0,0,0,0,0
